Date,Value
2011-01-07,63.0
2011-01-08,62.57142857142857
2011-01-09,62.142857142857146
2011-01-10,61.714285714285715
2011-01-11,61.285714285714285
2011-01-12,60.857142857142854
2011-01-13,60.42857142857143
2011-01-14,60.0
2011-01-15,58.142857142857146
2011-01-16,56.285714285714285
2011-01-17,54.42857142857143
2011-01-18,52.57142857142857
2011-01-19,50.714285714285715
2011-01-20,48.857142857142854
2011-01-21,47.0
2011-01-22,46.42857142857143
2011-01-23,45.857142857142854
2011-01-24,45.285714285714285
2011-01-25,44.714285714285715
2011-01-26,44.142857142857146
2011-01-27,43.57142857142857
2011-01-28,43.0
2011-01-29,43.857142857142854
2011-01-30,44.714285714285715
2011-01-31,45.57142857142857
2011-02-01,46.42857142857143
2011-02-02,47.285714285714285
2011-02-03,48.142857142857146
2011-02-04,49.0
2011-02-05,50.0
2011-02-06,51.0
2011-02-07,52.0
2011-02-08,53.0
2011-02-09,54.0
2011-02-10,55.0
2011-02-11,56.0
2011-02-12,56.0
2011-02-13,56.0
2011-02-14,56.0
2011-02-15,56.0
2011-02-16,56.0
2011-02-17,56.0
2011-02-18,56.0
2011-02-19,54.0
2011-02-20,52.0
2011-02-21,50.0
2011-02-22,48.0
2011-02-23,46.0
2011-02-24,44.0
2011-02-25,42.0
2011-02-26,41.57142857142857
2011-02-27,41.142857142857146
2011-02-28,40.714285714285715
2011-03-01,40.285714285714285
2011-03-02,39.857142857142854
2011-03-03,39.42857142857143
2011-03-04,39.0
2011-03-05,37.142857142857146
2011-03-06,35.285714285714285
2011-03-07,33.42857142857143
2011-03-08,31.57142857142857
2011-03-09,29.714285714285715
2011-03-10,27.857142857142858
2011-03-11,26.0
2011-03-12,23.571428571428573
2011-03-13,21.142857142857142
2011-03-14,18.714285714285715
2011-03-15,16.285714285714285
2011-03-16,13.857142857142858
2011-03-17,11.42857142857143
2011-03-18,9.0
2011-03-19,10.428571428571429
2011-03-20,11.857142857142858
2011-03-21,13.285714285714286
2011-03-22,14.714285714285715
2011-03-23,16.142857142857142
2011-03-24,17.571428571428573
2011-03-25,19.0
2011-03-26,20.142857142857142
2011-03-27,21.285714285714285
2011-03-28,22.428571428571427
2011-03-29,23.57142857142857
2011-03-30,24.714285714285715
2011-03-31,25.857142857142858
2011-04-01,27.0
2011-04-02,28.428571428571427
2011-04-03,29.857142857142858
2011-04-04,31.285714285714285
2011-04-05,32.714285714285715
2011-04-06,34.142857142857146
2011-04-07,35.57142857142857
2011-04-08,37.0
2011-04-09,35.714285714285715
2011-04-10,34.42857142857143
2011-04-11,33.142857142857146
2011-04-12,31.857142857142858
2011-04-13,30.57142857142857
